id	mother	father
Davies1_father	NA	NA
Davies1_mother	NA	NA
Davies10_father	NA	NA
Davies13_father	NA	NA
Davies13_mother	NA	NA
Davies6_father	NA	NA
Davies6_mother	NA	NA
Davies8_father	NA	NA
Davies8_mother	NA	NA
Jewell2_father	NA	NA
Jewell2_mother	NA	NA
Jewell3_father	NA	NA
Jewell3_mother	NA	NA
Jewell5_mother	NA	NA
Jewell6_mother	NA	NA
Jewell7_mother	NA	NA
Jewell8_father	NA	NA
Jewell8_mother	NA	NA
Palms1_father	NA	NA
Palms2_father	NA	NA
Palms2_mother	NA	NA
Palms4_father	NA	NA
Palms4_mother	NA	NA
Palms5_father	NA	NA
Palms5_mother	NA	NA
Parke2_father	NA	NA
Parke2_mother	NA	NA
Parke4_father	NA	NA
Parke4_mother	NA	NA
Parke5_father	NA	NA
Parke5_mother	NA	NA
Switzer2_mother	NA	NA
Switzer4_father	NA	NA
Switzer4_mother	NA	NA
Switzer6_father	NA	NA
Switzer6_mother	NA	NA
Switzer7_father	NA	NA
Switzer7_mother	NA	NA
Davies13xDavies1	Davies13_mother	Davies1_father
Davies1xDavies8	Davies1_mother	Davies8_father
Davies6xDavies1	Davies6_mother	Davies1_father
Davies8xDavies10	Davies8_mother	Davies10_father
Davies8xDavies6	Davies8_mother	Davies6_father
Jewell2xDavies8	Jewell2_mother	Davies8_father
Jewell2xJewell8	Jewell2_mother	Jewell8_father
Jewell2xPalms1	Jewell2_mother	Palms1_father
Jewell2xPalms4	Jewell2_mother	Palms4_father
Jewell3xDavies1	Jewell3_mother	Davies1_father
Jewell3xPalms1	Jewell3_mother	Palms1_father
Jewell5xPalms4	Jewell5_mother	Palms4_father
Jewell5xPalms5	Jewell5_mother	Palms5_father
Jewell6xPalms1	Jewell6_mother	Palms1_father
Jewell6xPalms4	Jewell6_mother	Palms4_father
Jewell7xDavies1	Jewell7_mother	Davies1_father
Jewell8xDavies1	Jewell8_mother	Davies1_father
Jewell8xDavies13	Jewell8_mother	Davies13_father
Jewell8xDavies6	Jewell8_mother	Davies6_father
Jewell8xJewell2	Jewell8_mother	Jewell2_father
Jewell8xJewell3	Jewell8_mother	Jewell3_father
Jewell8xPalms1	Jewell8_mother	Palms1_father
Jewell8xPalms4	Jewell8_mother	Palms4_father
Jewell8xPalms5	Jewell8_mother	Palms5_father
Palms2xDavies1	Palms2_mother	Davies1_father
Palms2xPalms5	Palms2_mother	Palms5_father
Palms4xDavies1	Palms4_mother	Davies1_father
Palms4xPalms2	Palms4_mother	Palms2_father
Palms5xPalms4	Palms5_mother	Palms4_father
Parke2xParke5	Parke2_mother	Parke5_father
Parke4xDavies1	Parke4_mother	Davies1_father
Parke4xParke2	Parke4_mother	Parke2_father
Parke5xDavies10	Parke5_mother	Davies10_father
Parke5xDavies6	Parke5_mother	Davies6_father
Parke5xParke4	Parke5_mother	Parke4_father
Switzer2xDavies1	Switzer2_mother	Davies1_father
Switzer2xDavies6	Switzer2_mother	Davies6_father
Switzer4xDavies8	Switzer4_mother	Davies8_father
Switzer4xSwitzer7	Switzer4_mother	Switzer7_father
Switzer6xDavies1	Switzer6_mother	Davies1_father
Switzer6xSwitzer4	Switzer6_mother	Switzer4_father
Switzer7xDavies10	Switzer7_mother	Davies10_father
Switzer7xSwitzer6	Switzer7_mother	Switzer6_father
